job_title,job_id,date_posted,state_province,area_of_work,min_salary,max_salary,position_type,required_education,preferred_education,preferred_technical_experience
Software Developer Intern 2026: SVL,75759,30-Jan-2026,California,Software Engineering,"90,720.00","166,320.00",Internship,High School Diploma/GED,Bachelor's Degree,"Exposure to cloud platforms (IBM Cloud, AWS, or Azure).
Experience with APIs, RESTful services, and databases (Postgres, MySQL, or similar).
Familiarity with Agile tools, CI/CD, and automation frameworks (Jenkins, Cypress, Selenium, etc.).
Contributions to open-source or personal coding projects.
Passion for innovation and continuous learning
Graduate in Dec 2026 or 2027."
SAP Technology Architect,72352,26-Nov-2025,"Illinois, Texas, Indiana, New Jersey",Software Engineering,"144,000.00","248,000.00",Professional,Bachelor's Degree,,"SAP
S/4HANA, SAP BTP (CAP, RAP, Event Mesh, Integration Suite), Fiori, CDS, Clean Core

Integration
SAP CPI, PI/PO, Mulesoft, Azure Integration, API-first & Event-driven design

AI & Automation
GenAI, SAP AI Core, ML, IPA, Intelligent Scenarios

EA Frameworks
TOGAF, SAP EAF, ArchiMate, Business Capability Modeling

Cloud & DevOps
SAP BTP, Azure, Kubernetes, CI/CD Pipelines

Leadership
Strong communication, strategic planning, stakeholder engagement, team mentorship"
"Senior Software Engineer, (Boundary) - HashiCorp",82844,03-Feb-2026,"Texas, Massachusetts, California",Software Engineering,"131,000.00","226,000.00",Professional,High School Diploma/GED,Bachelor's Degree,"What's nice to have (preferred qualifications) 
You have experience using HashiCorp products (Terraform, Packer, Waypoint, Nomad, Vault, Boundary, Consul). 
You have prior experience working in cloud platform engineering teams"
DevOps Engineer - AWS,80597,19-Dec-2025,Texas,Infrastructure & Technology,"99,875.00","129,250.00",Professional,Bachelor's Degree,Master's Degree,
Federal Senior Compliance Lead - CAS / FAR SME,86235,29-Jan-2026,"Minnesota, New York, Virginia, Maryland, District of Columbia",Enterprise Operations,"147,000.00","254,000.00",Professional,Bachelor's Degree,Master's Degree,"Direct experience with the Defense Contract Audit Agency (DCAA) and Defense Contract Management Agency (DCMA)  (either working within or as a contractor for)
Working knowledge of Deltek Costpoint
Certified Public Accountant"
Entry Level Hardware Developer,54841,30-Oct-2025,"Georgia, Minnesota, Texas, New York, North Carolina, Virginia, Arizona, Massachusetts, California",Infrastructure & Technology,"96,000.00","144,000.00",Entry Level,Bachelor's Degree,Bachelor's Degree,"Proficiency in one or more of the following technology areas:
* Microprocessor/ASIC Design Skills: VHDL, Verilog, RTL, SPICE, TCL, UVM, verification, and testing
* Computer Architecture coursework: VLSI Design, Microprocessors, Computer Architecture and Organization, Signal Integrity (Electromagnetics, RF, etc)
* Programming Skills: C/C++ or another object-oriented language, Git, Linux, GDB or another debugger, Agile practices
 * Scripting Skills: Python, APDL, TCL, Bash, Perl, or Java
 * Proficiency in CAD tools and 3D modeling
* Familiarity with various hardware architectures: VLSI, FPGA, MIPS, RISC-V, Arm, x86, Arduino, Quantum systems"
Software Developer Intern: 2026,54845,31-Oct-2025,"Georgia, Minnesota, Texas, New York, North Carolina, Virginia, Arizona, Massachusetts, California",Infrastructure & Technology,"75,000.00","139,000.00",Internship,High School Diploma/GED,Bachelor's Degree,"Knowledge of computer architecture and micro-architecture 
Programming projects with complex requirements
Understanding of Digital/VLSI Circuits
Linux experience"
Entry Level Site Reliability Engineer,65792,21-Nov-2025,"Texas, Massachusetts, California",Infrastructure & Technology,"100,800.00","151,200.00",Entry Level,High School Diploma/GED,Bachelor's Degree,"Kubernetes/OpenShift: knowledge or experience of Kubernetes/OpenShift environments. 
Automation/Scripting: knowledge or experience of Ansible, Python, Terraform, and CI/CD tools such as Jenkins, IBM Continuous Delivery, ArgoCD. 
Monitoring/Observability: knowledge or experience crafting alerts and dashboards using tools such as Instana, New Relic, Grafana/Prometheus. 
DBA: Interest or experience configuring and maintaining SQL, NoSQL, and data streaming technologies (e.g. PostgreSQL, CouchDB, Redis, Kafka, Spark, etc.)."
Oracle Cloud Core HR/Comp Lead,67048,20-Oct-2025,"Georgia, Florida, Illinois, Texas, New York, North Carolina, Colorado, Washington, Massachusetts, California",Consulting,"90,500.00","211,300.00",Professional,Bachelor's Degree,,
Back End Developer Intern 2026,73079,02-Dec-2025,"Minnesota, New York",Infrastructure & Technology,"75,000.00","139,000.00",Internship,High School Diploma/GED,Bachelor's Degree,"1 year experience in one or more of the following technology areas:C++, C, Java, Golang, Ruby, Python, Perl, SQL
1 year experience with APIs (example: REST APIs)
Experience in JSON, Web Services
Understanding of virtualization concepts and cloud operations"
