job_title,job_id,date_posted,state_province,area_of_work,min_salary,max_salary,position_type,required_education,preferred_education,preferred_technical_experience,date_posted_dt,min_salary_num,max_salary_num,mid_salary,salary_range,salary_range_pct,min_to_max_ratio,log_mid_salary,days_since_posted,posted_year,posted_month,posted_dow,posted_is_weekend,states_list,n_states_listed,is_multi_state_posting,primary_state,primary_region,required_edu_level,preferred_edu_level,edu_gap_preferred_minus_required,has_preferred_edu_specified,is_intern,is_entry,is_senior,is_lead,is_manager,is_director_plus,is_architect,role_engineering,role_data,role_security,role_product,role_design,role_sales,role_consulting,role_research,role_devops,title_len,title_word_count,text_all,exp_years_min,exp_years_max,exp_years_any,skill_python,skill_java,skill_sql,skill_r,skill_aws,skill_azure,skill_gcp,skill_kubernetes,skill_docker,skill_linux,skill_spark,skill_tableau,skill_powerbi,skill_ml,skill_genai,skill_security,skill_devops,skill_sap,n_skills_mentioned,exp_text_len,exp_text_word_count,skills_bin,PC1,PC2,cluster,is_outlier,outlier_score
Software Developer Intern 2026: SVL,75759,30-Jan-2026,California,Software Engineering,"90,720.00","166,320.00",Internship,High School Diploma/GED,Bachelor's Degree,"Exposure to cloud platforms (IBM Cloud, AWS, or Azure).
Experience with APIs, RESTful services, and databases (Postgres, MySQL, or similar).
Familiarity with Agile tools, CI/CD, and automation frameworks (Jenkins, Cypress, Selenium, etc.).
Contributions to open-source or personal coding projects.
Passion for innovation and continuous learning
Graduate in Dec 2026 or 2027.",2026-01-30,90720.0,166320.0,128520.0,75600.0,0.5882352941176471,0.5454545454545454,11.763839813229795,5,2026,1,4,0,['California'],1,0,California,West,1,4,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35,5,"software developer intern 2026: svl exposure to cloud platforms (ibm cloud, aws, or azure).
experience with apis, restful services, and databases (postgres, mysql, or similar).
familiarity with agile tools, ci/cd, and automation frameworks (jenkins, cypress, selenium, etc.).
contributions to open-source or personal coding projects.
passion for innovation and continuous learning
graduate in dec 2026 or 2027.",,,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,379,51,3-4,3.51061969623113,0.5809853978138712,3,0,0.07739169265470669
SAP Technology Architect,72352,26-Nov-2025,"Illinois, Texas, Indiana, New Jersey",Software Engineering,"144,000.00","248,000.00",Professional,Bachelor's Degree,Unknown,"SAP
S/4HANA, SAP BTP (CAP, RAP, Event Mesh, Integration Suite), Fiori, CDS, Clean Core

Integration
SAP CPI, PI/PO, Mulesoft, Azure Integration, API-first & Event-driven design

AI & Automation
GenAI, SAP AI Core, ML, IPA, Intelligent Scenarios

EA Frameworks
TOGAF, SAP EAF, ArchiMate, Business Capability Modeling

Cloud & DevOps
SAP BTP, Azure, Kubernetes, CI/CD Pipelines

Leadership
Strong communication, strategic planning, stakeholder engagement, team mentorship",2025-11-26,144000.0,248000.0,196000.0,104000.0,0.5306122448979592,0.5806451612903226,12.185869938212655,70,2025,11,2,0,"['Illinois', 'Texas', 'Indiana', 'New Jersey']",4,1,Illinois,Midwest,4,0,-4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24,3,"sap technology architect sap
s/4hana, sap btp (cap, rap, event mesh, integration suite), fiori, cds, clean core

integration
sap cpi, pi/po, mulesoft, azure integration, api-first & event-driven design

ai & automation
genai, sap ai core, ml, ipa, intelligent scenarios

ea frameworks
togaf, sap eaf, archimate, business capability modeling

cloud & devops
sap btp, azure, kubernetes, ci/cd pipelines

leadership
strong communication, strategic planning, stakeholder engagement, team mentorship",,,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,6,485,63,5-6,0.44855884818098013,4.281205321326423,0,1,-0.07756290843355584
"Senior Software Engineer, (Boundary) - HashiCorp",82844,03-Feb-2026,"Texas, Massachusetts, California",Software Engineering,"131,000.00","226,000.00",Professional,High School Diploma/GED,Bachelor's Degree,"What's nice to have (preferred qualifications) 
You have experience using HashiCorp products (Terraform, Packer, Waypoint, Nomad, Vault, Boundary, Consul). 
You have prior experience working in cloud platform engineering teams",2026-02-03,131000.0,226000.0,178500.0,95000.0,0.5322128851540616,0.5796460176991151,12.092343880201831,1,2026,2,1,0,"['Texas', 'Massachusetts', 'California']",3,1,Texas,South,1,4,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,48,6,"senior software engineer, (boundary) - hashicorp what's nice to have (preferred qualifications) 
you have experience using hashicorp products (terraform, packer, waypoint, nomad, vault, boundary, consul). 
you have prior experience working in cloud platform engineering teams",,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,228,29,1-2,0.9253452915410956,-0.3496670877242998,1,0,0.1314191009175703
DevOps Engineer - AWS,80597,19-Dec-2025,Texas,Infrastructure & Technology,"99,875.00","129,250.00",Professional,Bachelor's Degree,Master's Degree,,2025-12-19,99875.0,129250.0,114562.5,29375.0,0.2564102564102564,0.7727272727272727,11.64887580458206,47,2025,12,4,0,['Texas'],1,0,Texas,South,4,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,21,4,devops engineer - aws ,,,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1-2,0.7082257961440555,-1.548604306186228,2,0,0.004785188751717795
Federal Senior Compliance Lead - CAS / FAR SME,86235,29-Jan-2026,"Minnesota, New York, Virginia, Maryland, District of Columbia",Enterprise Operations,"147,000.00","254,000.00",Professional,Bachelor's Degree,Master's Degree,"Direct experience with the Defense Contract Audit Agency (DCAA) and Defense Contract Management Agency (DCMA)  (either working within or as a contractor for)
Working knowledge of Deltek Costpoint
Certified Public Accountant",2026-01-29,147000.0,254000.0,200500.0,107000.0,0.5336658354114713,0.5787401574803149,12.20856952572876,6,2026,1,3,0,"['Minnesota', 'New York', 'Virginia', 'Maryland', 'District of Columbia']",5,1,Minnesota,Midwest,4,5,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,46,9,"federal senior compliance lead - cas / far sme direct experience with the defense contract audit agency (dcaa) and defense contract management agency (dcma)  (either working within or as a contractor for)
working knowledge of deltek costpoint
certified public accountant",,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,31,0,-1.6112341479033874,0.4866393995190886,1,0,0.029236570171899956
Entry Level Hardware Developer,54841,30-Oct-2025,"Georgia, Minnesota, Texas, New York, North Carolina, Virginia, Arizona, Massachusetts, California",Infrastructure & Technology,"96,000.00","144,000.00",Entry Level,Bachelor's Degree,Bachelor's Degree,"Proficiency in one or more of the following technology areas:
* Microprocessor/ASIC Design Skills: VHDL, Verilog, RTL, SPICE, TCL, UVM, verification, and testing
* Computer Architecture coursework: VLSI Design, Microprocessors, Computer Architecture and Organization, Signal Integrity (Electromagnetics, RF, etc)
* Programming Skills: C/C++ or another object-oriented language, Git, Linux, GDB or another debugger, Agile practices
 * Scripting Skills: Python, APDL, TCL, Bash, Perl, or Java
 * Proficiency in CAD tools and 3D modeling
* Familiarity with various hardware architectures: VLSI, FPGA, MIPS, RISC-V, Arm, x86, Arduino, Quantum systems",2025-10-30,96000.0,144000.0,120000.0,48000.0,0.4,0.6666666666666666,11.695247021764184,97,2025,10,3,0,"['Georgia', 'Minnesota', 'Texas', 'New York', 'North Carolina', 'Virginia', 'Arizona', 'Massachusetts', 'California']",9,1,Georgia,South,4,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,4,"entry level hardware developer proficiency in one or more of the following technology areas:
* microprocessor/asic design skills: vhdl, verilog, rtl, spice, tcl, uvm, verification, and testing
* computer architecture coursework: vlsi design, microprocessors, computer architecture and organization, signal integrity (electromagnetics, rf, etc)
* programming skills: c/c++ or another object-oriented language, git, linux, gdb or another debugger, agile practices
 * scripting skills: python, apdl, tcl, bash, perl, or java
 * proficiency in cad tools and 3d modeling
* familiarity with various hardware architectures: vlsi, fpga, mips, risc-v, arm, x86, arduino, quantum systems",,,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,652,88,3-4,3.114608206632199,0.5289896680863624,5,0,0.07825122467946449
Software Developer Intern: 2026,54845,31-Oct-2025,"Georgia, Minnesota, Texas, New York, North Carolina, Virginia, Arizona, Massachusetts, California",Infrastructure & Technology,"75,000.00","139,000.00",Internship,High School Diploma/GED,Bachelor's Degree,"Knowledge of computer architecture and micro-architecture 
Programming projects with complex requirements
Understanding of Digital/VLSI Circuits
Linux experience",2025-10-31,75000.0,139000.0,107000.0,64000.0,0.5981308411214953,0.539568345323741,11.580584113444043,96,2025,10,4,0,"['Georgia', 'Minnesota', 'Texas', 'New York', 'North Carolina', 'Virginia', 'Arizona', 'Massachusetts', 'California']",9,1,Georgia,South,1,4,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,4,"software developer intern: 2026 knowledge of computer architecture and micro-architecture 
programming projects with complex requirements
understanding of digital/vlsi circuits
linux experience",,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,164,17,1-2,2.12706844136562,-2.1576871374617186,2,0,0.1052985309835745
Entry Level Site Reliability Engineer,65792,21-Nov-2025,"Texas, Massachusetts, California",Infrastructure & Technology,"100,800.00","151,200.00",Entry Level,High School Diploma/GED,Bachelor's Degree,"Kubernetes/OpenShift: knowledge or experience of Kubernetes/OpenShift environments. 
Automation/Scripting: knowledge or experience of Ansible, Python, Terraform, and CI/CD tools such as Jenkins, IBM Continuous Delivery, ArgoCD. 
Monitoring/Observability: knowledge or experience crafting alerts and dashboards using tools such as Instana, New Relic, Grafana/Prometheus. 
DBA: Interest or experience configuring and maintaining SQL, NoSQL, and data streaming technologies (e.g. PostgreSQL, CouchDB, Redis, Kafka, Spark, etc.).",2025-11-21,100800.0,151200.0,126000.0,50400.0,0.4,0.6666666666666666,11.744037185933616,75,2025,11,4,0,"['Texas', 'Massachusetts', 'California']",3,1,Texas,South,1,4,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,37,5,"entry level site reliability engineer kubernetes/openshift: knowledge or experience of kubernetes/openshift environments. 
automation/scripting: knowledge or experience of ansible, python, terraform, and ci/cd tools such as jenkins, ibm continuous delivery, argocd. 
monitoring/observability: knowledge or experience crafting alerts and dashboards using tools such as instana, new relic, grafana/prometheus. 
dba: interest or experience configuring and maintaining sql, nosql, and data streaming technologies (e.g. postgresql, couchdb, redis, kafka, spark, etc.).",,,0.0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,5,528,61,5-6,6.14326919541063,0.7164653314009369,7,0,0.0004968687015072248
Oracle Cloud Core HR/Comp Lead,67048,20-Oct-2025,"Georgia, Florida, Illinois, Texas, New York, North Carolina, Colorado, Washington, Massachusetts, California",Consulting,"90,500.00","211,300.00",Professional,Bachelor's Degree,Unknown,,2025-10-20,90500.0,211300.0,150900.0,120800.0,0.8005301524188204,0.42830099384761006,11.924372644755941,107,2025,10,0,0,"['Georgia', 'Florida', 'Illinois', 'Texas', 'New York', 'North Carolina', 'Colorado', 'Washington', 'Massachusetts', 'California']",10,1,Georgia,South,4,0,-4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,5,oracle cloud core hr/comp lead ,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.424614889185774,-0.12741203469790296,4,0,0.1302887869177617
Back End Developer Intern 2026,73079,02-Dec-2025,"Minnesota, New York",Infrastructure & Technology,"75,000.00","139,000.00",Internship,High School Diploma/GED,Bachelor's Degree,"1 year experience in one or more of the following technology areas:C++, C, Java, Golang, Ruby, Python, Perl, SQL
1 year experience with APIs (example: REST APIs)
Experience in JSON, Web Services
Understanding of virtualization concepts and cloud operations",2025-12-02,75000.0,139000.0,107000.0,64000.0,0.5981308411214953,0.539568345323741,11.580584113444043,64,2025,12,1,0,"['Minnesota', 'New York']",2,1,Minnesota,Midwest,1,4,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,5,"back end developer intern 2026 1 year experience in one or more of the following technology areas:c++, c, java, golang, ruby, python, perl, sql
1 year experience with apis (example: rest apis)
experience in json, web services
understanding of virtualization concepts and cloud operations",1.0,1.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,259,39,3-4,4.682084440287133,-0.10349298710084422,5,0,0.07506156270570585
Senior Digital Asset Tech Sales,72906,20-Jan-2026,New York,Sales,"243,000.00","270,000.00",Professional,Bachelor's Degree,Master's Degree,,2026-01-20,243000.0,270000.0,256500.0,27000.0,0.10526315789473684,0.9,12.45488394359296,15,2026,1,1,0,['New York'],1,0,New York,Northeast,4,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,31,5,senior digital asset tech sales ,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.452009205246825,-1.5252603439196974,1,0,0.12320059671260625
Software Developer Intern 2026: SVL,72366,30-Jan-2026,California,Software Engineering,"90,720.00","166,320.00",Internship,High School Diploma/GED,Bachelor's Degree,"Exposure to cloud platforms (IBM Cloud, AWS, or Azure).
Experience with APIs, RESTful services, and databases (Postgres, MySQL, or similar).
Familiarity with Agile tools, CI/CD, and automation frameworks (Jenkins, Cypress, Selenium, etc.).
Contributions to open-source or personal coding projects.
Passion for innovation and continuous learning
Graduate in Dec 2026 or 2027.",2026-01-30,90720.0,166320.0,128520.0,75600.0,0.5882352941176471,0.5454545454545454,11.763839813229795,5,2026,1,4,0,['California'],1,0,California,West,1,4,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35,5,"software developer intern 2026: svl exposure to cloud platforms (ibm cloud, aws, or azure).
experience with apis, restful services, and databases (postgres, mysql, or similar).
familiarity with agile tools, ci/cd, and automation frameworks (jenkins, cypress, selenium, etc.).
contributions to open-source or personal coding projects.
passion for innovation and continuous learning
graduate in dec 2026 or 2027.",,,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,379,51,3-4,3.510619696231138,0.580985397813861,3,0,0.07739169265470669
Product Manager - IBM Storage,73742,14-Nov-2025,"Texas, North Carolina, Arizona",Product Management,"89,440.00","147,600.00",Entry Level,High School Diploma/GED,Bachelor's Degree,"Knowledge of hardware and software development concepts.
Passion and desire to make the best products in the industry hands-down.",2025-11-14,89440.0,147600.0,118520.0,58160.0,0.4907188660141748,0.6059620596205962,11.682837001687501,82,2025,11,4,0,"['Texas', 'North Carolina', 'Arizona']",3,1,Texas,South,1,4,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,29,5,"product manager - ibm storage knowledge of hardware and software development concepts.
passion and desire to make the best products in the industry hands-down.",,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,19,0,0.4278101759274615,-3.853978041015842,2,0,0.10571814617610403
Entry Level Technical Product Manager Developer Website,73803,29-Jan-2026,"Texas, Massachusetts",Product Management,"98,400.00","148,830.00",Entry Level,Bachelor's Degree,Bachelor's Degree,,2026-01-29,98400.0,148830.0,123615.0,50430.0,0.4079601990049751,0.6611570247933884,11.724927175865593,6,2026,1,3,0,"['Texas', 'Massachusetts']",2,1,Texas,South,4,4,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,55,7,entry level technical product manager developer website ,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08324908070831365,-2.3457512330844112,1,0,0.08548142263523911
Software Engineer Backend,82841,03-Feb-2026,"Texas, Massachusetts, California",Software Engineering,"111,000.00","191,000.00",Professional,High School Diploma/GED,Bachelor's Degree,"What's nice to have (preferred qualifications) 
You have experience using HashiCorp products (Terraform, Packer, Waypoint, Nomad, Vault, Boundary, Consul). 
You have prior experience working in cloud platform engineering teams 
Emerging experience in mentoring team members, helping to enhance their problem-solving, critical thinking, and planning skills.",2026-02-03,111000.0,191000.0,151000.0,80000.0,0.5298013245033113,0.581151832460733,11.925035115797062,1,2026,2,1,0,"['Texas', 'Massachusetts', 'California']",3,1,Texas,South,1,4,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,3,"software engineer backend what's nice to have (preferred qualifications) 
you have experience using hashicorp products (terraform, packer, waypoint, nomad, vault, boundary, consul). 
you have prior experience working in cloud platform engineering teams 
emerging experience in mentoring team members, helping to enhance their problem-solving, critical thinking, and planning skills.",,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,359,45,1-2,0.9032064500891868,-0.6188835762913241,1,0,0.1261580572061869
Strategic Account Executive,83358,28-Jan-2026,"Arizona, California",Sales,"157,000.00","270,000.00",Professional,High School Diploma/GED,Bachelor's Degree,,2026-01-28,157000.0,270000.0,213500.0,113000.0,0.5292740046838408,0.5814814814814815,12.271392111650817,7,2026,1,2,0,"['Arizona', 'California']",2,1,Arizona,West,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,3,strategic account executive ,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3805509238018233,-2.0182017766801508,1,0,0.1200629839875802
Technology Solution Engineer - RedHat,84189,16-Jan-2026,Texas,Sales,"79,000.00","137,000.00",Professional,Associate's Degree/College Diploma,Bachelor's Degree,"Sales Oriented Process and Customer Direct Pre-Sales experience. 
Proven knowledge of UNIX, windows or Linux based systems, preferably in Red Hat platform offerings (Red Hat Enterprise Linux (RHEL), OpenShift and Ansible. 
Experience with configuration and running demos on Red Hat Platform or other related/ similar technologies.",2026-01-16,79000.0,137000.0,108000.0,58000.0,0.5370370370370371,0.5766423357664233,11.589886506106357,19,2026,1,4,0,['Texas'],1,0,Texas,South,3,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37,5,"technology solution engineer - redhat sales oriented process and customer direct pre-sales experience. 
proven knowledge of unix, windows or linux based systems, preferably in red hat platform offerings (red hat enterprise linux (rhel), openshift and ansible. 
experience with configuration and running demos on red hat platform or other related/ similar technologies.",,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,332,46,1-2,1.2569886620579216,-0.12851187065689287,1,0,0.08700444521762118
"System Services Representative - Monroe, LA",86493,21-Jan-2026,Louisiana,Infrastructure & Technology,"37,000.00","66,000.00",Administration & Technician,High School Diploma/GED,Associate's Degree/College Diploma,"Familiarity with Hybrid Cloud: Exposure to onsite Infrastructure Services, maintenance, and consultancy for Hybrid Cloud client environments to support client operations. 
Knowledge of IT Consulting: Basic understanding of customized project-based services, including Technical Delivery Assessment, installation planning, and account management. 
Exposure to Data Analytics: Familiarity with tools like Watson Einstein Analytics to drive automation and improve effectiveness of client operations.",2026-01-21,37000.0,66000.0,51500.0,29000.0,0.5631067961165048,0.5606060606060606,10.849337086651827,14,2026,1,2,0,['Louisiana'],1,0,Louisiana,South,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,6,"system services representative - monroe, la familiarity with hybrid cloud: exposure to onsite infrastructure services, maintenance, and consultancy for hybrid cloud client environments to support client operations. 
knowledge of it consulting: basic understanding of customized project-based services, including technical delivery assessment, installation planning, and account management. 
exposure to data analytics: familiarity with tools like watson einstein analytics to drive automation and improve effectiveness of client operations.",,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,60,0,0.0672890421987817,-1.00749264304466,1,0,0.14514991193432492
Associate Package Specialist - Business Applications - 2026,87011,16-Jan-2026,Louisiana,Infrastructure & Technology,"45,427.00","83,283.00",Entry Level,Bachelor's Degree,Master's Degree,"Experience working on system implementations or configuration projects
Exposure to packaged applications (e.g., ERP, HCM, CRM, or similar systems)
Familiarity with data migration concepts or integration workflows
Experience working in Agile or structured project delivery environments
Experience collaborating with others on team-based projects
Exposure to databases such as MySQL, PostgreSQL, SQL Server, Oracle, DB2, or MongoDB
Exposure to analytics or data tools such as SPSS, SAS, Tableau, Hadoop, or Spark, depending on practice needs
Experience collaborating with others on team-based software projects
Emerging Technology Awareness
Familiarity with generative AI concepts, including basic modeling approaches, responsible use, and ethical considerations, gained through coursework, projects, or self-study",2026-01-16,45427.0,83283.0,64355.0,37856.0,0.5882371222127263,0.5454534538861472,11.072169910083478,19,2026,1,4,0,['Louisiana'],1,0,Louisiana,South,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,8,"associate package specialist - business applications - 2026 experience working on system implementations or configuration projects
exposure to packaged applications (e.g., erp, hcm, crm, or similar systems)
familiarity with data migration concepts or integration workflows
experience working in agile or structured project delivery environments
experience collaborating with others on team-based projects
exposure to databases such as mysql, postgresql, sql server, oracle, db2, or mongodb
exposure to analytics or data tools such as spss, sas, tableau, hadoop, or spark, depending on practice needs
experience collaborating with others on team-based software projects
emerging technology awareness
familiarity with generative ai concepts, including basic modeling approaches, responsible use, and ethical considerations, gained through coursework, projects, or self-study",,,0.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,4,821,105,3-4,3.845056289747152,3.921040118330963,6,1,-0.020499903957347354
Software Engineering Manager,86512,02-Feb-2026,Massachusetts,Software Engineering,"161,000.00","276,000.00",Professional,High School Diploma/GED,Bachelor's Degree,"Preferred Skills
Experience with microservices architecture.
Familiarity with CI/CD pipelines and DevOps practices.
Knowledge of security and compliance in SaaS environments.",2026-02-02,161000.0,276000.0,218500.0,115000.0,0.5263157894736842,0.5833333333333334,12.294541293517781,2,2026,2,0,0,['Massachusetts'],1,0,Massachusetts,Northeast,1,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,3,"software engineering manager preferred skills
experience with microservices architecture.
familiarity with ci/cd pipelines and devops practices.
knowledge of security and compliance in saas environments.",,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,177,21,1-2,0.6119161311061683,-1.0596884301866305,1,0,0.08118146249051356
Data Engineer Intern 2026 – Client Innovation Center (Entry Level),87269,16-Jan-2026,"New York, Michigan, Louisiana",Data & Analytics,"29,120.00","51,484.00",Internship,High School Diploma/GED,Unknown,"Preferred Skills (Nice-to-Haves):
Exposure to ETL/ELT concepts or tools through coursework or projects
Familiarity with modern data platforms or tools (e.g., dbt, Snowflake, BigQuery, Spark, Airflow, or similar)
Exposure to cloud platforms (AWS, Azure, Google Cloud, or IBM Cloud) through labs or academic projects
Experience working with datasets for analytics or machine learning coursework
Participation in team-based academic projects, hackathons, internships, or capstone courses
 Preferred:
Currently pursuing a Bachelor’s degree in Computer Science, Data Science, Mathematics, Statistics, Engineering, AI, or a related field.",2026-01-16,29120.0,51484.0,40302.0,22364.0,0.5549104262815742,0.5656126175122368,10.60415637449492,19,2026,1,4,0,"['New York', 'Michigan', 'Louisiana']",3,1,New York,Northeast,1,0,-1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,66,10,"data engineer intern 2026 – client innovation center (entry level) preferred skills (nice-to-haves):
exposure to etl/elt concepts or tools through coursework or projects
familiarity with modern data platforms or tools (e.g., dbt, snowflake, bigquery, spark, airflow, or similar)
exposure to cloud platforms (aws, azure, google cloud, or ibm cloud) through labs or academic projects
experience working with datasets for analytics or machine learning coursework
participation in team-based academic projects, hackathons, internships, or capstone courses
 preferred:
currently pursuing a bachelor’s degree in computer science, data science, mathematics, statistics, engineering, ai, or a related field.",,,0.0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,5,639,83,5-6,4.674933247969672,4.206961632496663,3,1,-0.015129713847748083
QA/Test Developer (Performance Engineering),87331,22-Jan-2026,California,Software Engineering,"161,000.00","276,000.00",Professional,High School Diploma/GED,Bachelor's Degree,"Experience in a technical leadership role.
Experience with system architecture, including cloud-native technologies, distributed systems, databases (including Ansible/Terraform for IaC)
Knowledge of IBM's software portfolio, particularly in data and AI
Knowledge of IBM Cloud, AWS or Azure",2026-01-22,161000.0,276000.0,218500.0,115000.0,0.5263157894736842,0.5833333333333334,12.294541293517781,13,2026,1,3,0,['California'],1,0,California,West,1,4,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,43,4,"qa/test developer (performance engineering) experience in a technical leadership role.
experience with system architecture, including cloud-native technologies, distributed systems, databases (including ansible/terraform for iac)
knowledge of ibm's software portfolio, particularly in data and ai
knowledge of ibm cloud, aws or azure",,,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,292,37,3-4,2.6576198327053966,0.7339367758112989,3,0,0.12207135830459992
Entry Level Product Manager: Austin TX 2026,86985,30-Jan-2026,Texas,Product Management,"98,400.00","147,600.00",Entry Level,High School Diploma/GED,Bachelor's Degree,"* Experience with enterprise AI products or platforms
* Exposure to AI ethics frameworks and responsible AI practices. 
* Comfortable working with global teams across time zones and cultures.",2026-01-30,98400.0,147600.0,123000.0,49200.0,0.4,0.6666666666666666,11.719939634354555,5,2026,1,4,0,['Texas'],1,0,Texas,South,1,4,3,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,43,7,"entry level product manager: austin tx 2026 * experience with enterprise ai products or platforms
* exposure to ai ethics frameworks and responsible ai practices. 
* comfortable working with global teams across time zones and cultures.",,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,29,0,0.6645784375288343,-3.106659555265812,1,0,0.10396529645200547
