job_title,area_of_work,position_type,primary_region,mid_salary,log_mid_salary,required_education,preferred_education,required_edu_level,preferred_edu_level,n_skills_mentioned,exp_years_min,exp_years_max,is_intern,is_entry,is_senior,is_lead,is_manager,is_architect,role_data,role_engineering,role_consulting,role_security,cluster,is_outlier,outlier_score
"Associate Developer Intern 2026 – Microsoft, Oracle, Application Operations, Salesforce and ServiceNow",Software Engineering,Internship,South,61880.0,11.032952304687003,High School Diploma/GED,Bachelor's Degree,1,4,7,,,1,0,0,0,0,0,0,1,0,0,6,1,-0.15843772495637254
Associate Application Developer 2026,Software Engineering,Entry Level,South,92500.0,11.434963923500517,High School Diploma/GED,Bachelor's Degree,1,4,4,,,0,0,0,0,0,0,0,1,0,0,6,1,-0.1191142781377591
Associate Security Specialist 2026 -Infrastructure Security,Security,Entry Level,Midwest,64355.0,11.072169910083478,Bachelor's Degree,Bachelor's Degree,4,4,4,,,0,0,0,0,0,0,0,0,0,1,5,1,-0.09584172392854795
SAP Technology Architect,Software Engineering,Professional,Midwest,196000.0,12.185869938212655,Bachelor's Degree,Unknown,4,0,6,,,0,0,0,0,0,1,0,0,0,0,0,1,-0.07756290843355584
Senior Program Manager,Consulting,Professional,South,196000.0,12.185869938212655,Bachelor's Degree,Master's Degree,4,5,0,15.0,15.0,0,0,1,0,1,0,0,0,0,0,1,1,-0.06377636117496399
Associate Business Transformation Consultant 2026 – Data Services,Consulting,Entry Level,South,99450.0,11.507410284282118,High School Diploma/GED,Bachelor's Degree,1,4,1,1.0,1.0,0,0,0,0,0,0,1,0,1,0,1,1,-0.0552562659864112
Senior Data Security Consultant,Consulting,Professional,Midwest,211000.0,12.259613412458204,Bachelor's Degree,Master's Degree,4,5,1,5.0,10.0,0,0,1,0,0,0,1,0,1,1,4,1,-0.054334296686714856
U.S. Public Sector Compliance Officer,Enterprise Operations,Professional,South,250500.0,12.431214199507057,Doctorate Degree,Doctorate Degree,6,6,0,,,0,0,0,0,0,0,0,0,0,1,2,1,-0.03333071009087207
Associate Application Developer 2026– Hybrid Cloud and Data,Software Engineering,Entry Level,Northeast,64355.0,11.072169910083478,Bachelor's Degree,Master's Degree,4,5,4,,,0,0,0,0,0,0,1,1,0,0,6,1,-0.03191218828401199
2026 Senior Data Scientist Intern - Corporate Development (M&A),Data & Analytics,Internship,Northeast,117748.0,11.67630202659641,High School Diploma/GED,Bachelor's Degree,1,4,3,,,1,0,1,0,0,0,1,0,0,0,1,1,-0.031791844700141514
Data Scientist - Artificial Intelligence,Data & Analytics,Professional,Northeast,188100.0,12.144729015289121,High School Diploma/GED,Bachelor's Degree,1,4,4,,,0,0,0,0,0,0,1,0,0,0,3,1,-0.029331369775169702
Product Manager Intern 2026,Product Management,Internship,South,104550.0,11.55742070485678,High School Diploma/GED,Bachelor's Degree,1,4,0,,,1,0,0,0,1,0,0,0,0,0,2,1,-0.025785795499263076
Associate Package Specialist - Business Applications - 2026,Infrastructure & Technology,Entry Level,South,64355.0,11.072169910083478,Bachelor's Degree,Master's Degree,4,5,4,,,0,0,0,0,0,0,0,0,0,0,6,1,-0.020499903957347354
Technical Enablement Specialist Intern 2026,Infrastructure & Technology,Internship,South,106500.0,11.575900264131617,High School Diploma/GED,Bachelor's Degree,1,4,1,,,1,0,0,0,0,0,0,0,0,0,2,1,-0.017842799731256465
Associate Application Developer 2026– Strategy and Transformation,Software Engineering,Entry Level,Northeast,64355.0,11.072169910083478,Bachelor's Degree,Master's Degree,4,5,4,,,0,0,0,0,0,0,0,1,0,0,6,1,-0.017596687845003456
"Application Consultant Intern 2026 – IBM, RedHat & Microsoft",Consulting,Internship,South,75650.0,11.233872719216501,High School Diploma/GED,Bachelor's Degree,1,4,8,,,1,0,0,0,0,0,0,0,1,0,5,1,-0.01568688608140012
Data Engineer Intern 2026 – Client Innovation Center (Entry Level),Data & Analytics,Internship,Northeast,40302.0,10.60415637449492,High School Diploma/GED,Unknown,1,0,5,,,1,1,0,0,0,0,1,1,0,0,3,1,-0.015129713847748083
Associate Application Developer 2026,Software Engineering,Entry Level,Northeast,64355.0,11.072169910083478,Bachelor's Degree,Master's Degree,4,5,4,,,0,0,0,0,0,0,0,1,0,0,6,1,-0.009475161077356242
Data Scientist Intern 2026 - AI Analytics & Automation,Data & Analytics,Internship,South,94350.0,11.454766550796696,High School Diploma/GED,Bachelor's Degree,1,4,7,,,1,0,0,0,0,0,1,0,0,0,3,1,-0.005991947365020955
"Consultant, Data Engineer",Software Engineering,Professional,Midwest,122500.0,11.715866308966918,Bachelor's Degree,Bachelor's Degree,4,4,0,,,0,0,0,0,0,0,1,1,1,0,4,1,-0.002967181457844581
AI Engineer Intern– Entry Level Sales Program 2026,Sales,Internship,South,97750.0,11.490168477847613,Bachelor's Degree,Master's Degree,4,5,1,,,1,1,0,0,0,0,0,1,0,0,2,1,-0.0019573848524533366
Associate Data Engineer 2026 – Data Services,Data & Analytics,Entry Level,South,99000.0,11.502875129116727,High School Diploma/GED,Bachelor's Degree,1,4,1,1.0,1.0,0,0,0,0,0,0,1,1,0,0,1,1,-0.0012824352904911018
Site Reliability Engineer & Administrator (Intern),Infrastructure & Technology,Internship,South,103650.0,11.548775117863926,High School Diploma/GED,Bachelor's Degree,1,4,3,,,1,0,0,0,0,0,0,1,0,0,3,1,-0.0007807487546592773
Site Reliability Engineer & Administrator (Intern),Infrastructure & Technology,Internship,Midwest,103650.0,11.548775117863926,High School Diploma/GED,Bachelor's Degree,1,4,3,,,1,0,0,0,0,0,0,1,0,0,3,1,-0.000182117559509698
